num_distr,mouse.time,mouse.clicked_name,,num_distr,mouse.time,mouse.clicked_name,,num_distr,mouse.time,mouse.clicked_name,,,num_distr,mouse.time,mouse.clicked_name,,,
5,2.0796156,,,10,1.5882835,target,,5,1.607346,target,,,10,1.5882835,target,,,
10,1.5882835,target,,5,1.607346,target,,5,1.0613948,target,,,10,1.0854932,target,,,
5,1.607346,target,,10,1.0854932,target,,5,1.3991873,target,,,10,1.8185055,target,,,
10,1.0854932,target,,5,1.0613948,target,,5,1.3422517,target,,,10,1.903774,target,,,
5,1.0613948,target,,10,1.8185055,target,,5,1.6295494,target,,,10,1.6819705,target,,,
10,1.8185055,target,,5,1.3991873,target,,5,1.4494409,target,,,10,3.0750494,target,,total mean RT,1.640179387
5,1.3991873,target,,10,1.903774,target,,5,1.6498047,target,,,10,1.5119967,target,,,
5,1.600089,,,10,1.6819705,target,,5,1.3769144,target,,,10,1.3627205,target,,,
10,1.903774,target,,5,1.3422517,target,,5,1.4068214,target,,,10,2.6260504,target,,mean RT-5,1.52135346
10,1.6819705,target,,10,3.0750494,target,,5,1.6247592,target,,,10,1.9028704,target,,mean RT-10,1.798520963
5,1.3422517,target,,5,1.6295494,target,,5,1.2537548,target,,,10,1.2331063,target,,,
10,3.0750494,target,,10,1.5119967,target,,5,1.7633031,target,,,10,1.8598865,target,,,
5,1.6295494,target,,5,1.4494409,target,,5,1.355611,target,,,10,1.2608345,target,,,
10,1.5119967,target,,5,1.6498047,target,,5,1.6668462,target,,,10,1.3145775,target,,,
5,1.4494409,target,,10,1.3627205,target,,5,1.5032464,target,,,10,1.6582486,target,,,
5,1.6498047,target,,10,2.6260504,target,,5,1.2498216,target,,,10,1.3824666,target,,,
10,1.3627205,target,,10,1.9028704,target,,5,2.2295365,target,,,10,2.9353618,target,,,
10,2.6260504,target,,5,1.3769144,target,,5,2.6883519,target,,,10,1.9201887,target,,,
10,1.9028704,target,,10,1.2331063,target,,5,1.6086594,target,,,10,1.4462027,target,,,
5,1.3769144,target,,5,1.4068214,target,,5,2.1444887,target,,,10,1.5277259,target,,,
10,1.6784304,,,10,1.8598865,target,,5,1.6819983,target,,,10,2.3272599,target,,,
10,1.2331063,target,,5,1.6247592,target,,5,1.2012791,target,,,10,1.1427795,target,,,
5,1.4068214,target,,5,1.2537548,target,,5,1.4339911,target,,,10,1.2212514,target,,,
10,1.8598865,target,,10,1.2608345,target,,5,2.0576741,target,,,10,2.4049558,target,,,
5,1.6247592,target,,10,1.3145775,target,,5,1.522962,target,,,10,2.7425679,target,,,
5,1.2537548,target,,5,1.7633031,target,,5,2.2160745,target,,,10,1.5318644,target,,,
10,1.2608345,target,,5,1.355611,target,,5,1.6621362,target,,,10,1.7760004,target,,,
10,1.3145775,target,,5,1.6668462,target,,5,1.3763602,target,,,10,2.2608318,target,,,
5,1.7633031,target,,10,1.6582486,target,,5,1.830303,target,,,10,1.9738994,target,,,
5,1.355611,target,,5,1.5032464,target,,5,1.6428007,target,,,10,2.1093301,target,,,
5,1.6668462,target,,5,1.2498216,target,,5,1.2788042,target,,,10,1.1407497,target,,,
10,1.6582486,target,,10,1.3824666,target,,5,1.5203264,target,,,10,1.2662249,target,,,
5,1.5032464,target,,10,2.9353618,target,,5,1.6849512,target,,,10,2.16548,target,,,
5,1.2498216,target,,10,1.9201887,target,,5,1.677226,target,,,10,1.8356805,target,,,
10,1.3824666,target,,10,1.4462027,target,,5,1.2152943,target,,,10,1.8667853,target,,,
10,2.9353618,target,,5,2.2295365,target,,5,1.535332,target,,,10,2.1141757,target,,,
10,1.9201887,target,,10,1.5277259,target,,5,1.6495427,target,,,10,2.0164517,target,,,
10,1.4462027,target,,10,2.3272599,target,,5,1.5993882,target,,,10,1.2347386,target,,,
5,2.2295365,target,,5,2.6883519,target,,5,2.765521,target,,,10,1.4262606,target,,,
10,1.5277259,target,,5,1.6086594,target,,5,1.603573,target,,,10,1.480486,target,,,
10,2.3272599,target,,10,1.1427795,target,,5,2.2316388,target,,,10,2.7141013,target,,,
5,2.6883519,target,,5,2.1444887,target,,5,1.2421101,target,,,10,2.0774908,target,,,
5,1.6086594,target,,5,1.6819983,target,,5,1.7437255,target,,,10,1.6441185,target,,,
10,1.1427795,target,,10,1.2212514,target,,5,1.5017644,target,,,10,1.1734198,target,,,
5,2.1444887,target,,5,1.2012791,target,,5,1.495141,target,,,10,1.831387,target,,,
5,1.6819983,target,,5,1.4339911,target,,5,1.1052088,target,,,10,1.296323,target,,,
10,1.2212514,target,,10,2.4049558,target,,5,1.295443,target,,,10,2.3625858,target,,,
5,1.2012791,target,,10,2.7425679,target,,5,1.4189747,target,,,10,1.3661297,target,,,
5,1.4339911,target,,10,1.5318644,target,,5,1.4690788,target,,,10,1.7345287,target,,,
10,2.4049558,target,,10,1.7760004,target,,5,1.5025657,target,,,10,1.5280624,target,,,
10,2.7425679,target,,5,2.0576741,target,,5,1.5049508,target,,,10,1.1792499,target,,,
10,1.5318644,target,,5,1.522962,target,,5,1.4612078,target,,,10,1.232369,target,,,
10,1.7760004,target,,5,2.2160745,target,,5,1.3055197,target,,,10,1.3143001,target,,,
5,2.0576741,target,,10,2.2608318,target,,5,1.4511376,target,,,10,2.9984543,target,,,
5,1.522962,target,,5,1.6621362,target,,5,1.1366694,target,,,10,2.0617352,target,,,
5,2.2160745,target,,10,1.9738994,target,,5,1.2994966,target,,,10,1.4746819,target,,,
10,2.2608318,target,,5,1.3763602,target,,5,1.0496775,target,,,10,1.2886679,target,,,
5,1.6621362,target,,5,1.830303,target,,5,1.9619313,target,,,10,1.6772656,target,,,
10,1.9738994,target,,5,1.6428007,target,,5,2.561689,target,,,10,2.4235146,target,,,
5,1.3763602,target,,10,2.1093301,target,,5,1.7037866,target,,,10,1.7438664,target,,,
5,1.830303,target,,5,1.2788042,target,,5,1.3838757,target,,,10,2.0641175,target,,,
5,1.6428007,target,,10,1.1407497,target,,5,1.104843,target,,,10,1.3770062,target,,,
10,2.1093301,target,,10,1.2662249,target,,5,1.482483,target,,,10,1.2399117,target,,,
5,1.2788042,target,,5,1.5203264,target,,5,1.2706497,target,,,10,2.1297961,target,,,
10,1.1407497,target,,5,1.6849512,target,,5,1.4982768,target,,,10,2.532171,target,,,
10,1.2662249,target,,10,2.16548,target,,5,1.4083472,target,,,10,3.6065364,target,,,
5,1.5203264,target,,10,1.8356805,target,,5,1.5341668,target,,,10,1.4102901,target,,,
5,1.6849512,target,,5,1.677226,target,,5,1.0844432,target,,,10,1.6241361,target,,,
10,2.16548,target,,5,1.2152943,target,,5,1.3914223,target,,,10,1.8355503,target,,,
10,1.8356805,target,,5,1.535332,target,,5,1.8986784,target,,,10,1.8224551,target,,,
5,1.677226,target,,10,1.8667853,target,,5,1.1533765,target,,,10,1.1689344,target,,,
5,1.2152943,target,,10,2.1141757,target,,5,1.3749878,target,,,10,2.0823996,target,,,
5,1.535332,target,,5,1.6495427,target,,5,1.1510259,target,,,10,1.6592448,target,,,
10,1.8667853,target,,10,2.0164517,target,,5,1.7420722,target,,,10,1.6953756,target,,,
10,2.1141757,target,,5,1.5993882,target,,5,1.5865056,target,,,10,4.0167948,target,,,
5,1.6495427,target,,10,1.2347386,target,,5,1.3418692,target,,,10,1.2055666,target,,,
10,2.0164517,target,,10,1.4262606,target,,5,1.4021473,target,,,10,1.1907401,target,,,
5,1.5993882,target,,10,1.480486,target,,5,1.820118,target,,,10,2.1439531,target,,,
10,1.2347386,target,,5,2.765521,target,,5,1.2196109,target,,,10,1.7383114,target,,,
10,1.4262606,target,,5,1.603573,target,,5,1.3878837,target,,,10,1.039769,target,,,
10,1.554568,,,5,2.2316388,target,,5,2.0977762,target,,,10,1.4269496,target,,,
10,1.480486,target,,5,1.2421101,target,,5,1.1215072,target,,,10,1.9676019,target,,,
5,2.765521,target,,5,1.7437255,target,,5,1.053769,target,,,10,1.064,target,,,
5,1.603573,target,,10,2.7141013,target,,5,1.0792015,target,,,10,1.1541798,target,,,
5,2.2316388,target,,10,2.0774908,target,,5,1.2161104,target,,,10,1.788755,target,,,
5,1.4217608,,,5,1.5017644,target,,5,1.0401089,target,,,10,1.2014488,target,,,
5,1.2421101,target,,10,1.6441185,target,,5,1.5525615,target,,,10,1.6439381,target,,,
5,1.7437255,target,,5,1.495141,target,,5,1.1325165,target,,,10,1.6814443,target,,,
10,2.7141013,target,,5,1.1052088,target,,5,1.5993767,target,,,10,4.3274908,target,,,
10,2.0774908,target,,10,1.1734198,target,,5,1.5066211,target,,,10,1.5624423,target,,,
5,1.5017644,target,,10,1.831387,target,,5,1.1624493,target,,,,,,,,
10,1.6441185,target,,5,1.295443,target,,5,1.6433847,target,,,,,,,,
5,1.5589187,,,5,1.4189747,target,,5,1.0033462,target,,,,,,,,
5,1.495141,target,,10,1.296323,target,,5,2.3814031,target,,,,,,,,
5,1.1052088,target,,10,2.3625858,target,,,,,,,,,,,,
10,1.1734198,target,,5,1.4690788,target,,,,,,,,,,,,
10,1.831387,target,,10,1.3661297,target,,,,,,,,,,,,
5,1.295443,target,,5,1.5025657,target,,,,,,,,,,,,
5,1.4189747,target,,5,1.5049508,target,,,,,,,,,,,,
10,1.296323,target,,10,1.7345287,target,,,,,,,,,,,,
10,1.5981157,,,10,1.5280624,target,,,,,,,,,,,,
10,2.3625858,target,,5,1.4612078,target,,,,,,,,,,,,
5,1.4690788,target,,5,1.3055197,target,,,,,,,,,,,,
10,1.3661297,target,,5,1.4511376,target,,,,,,,,,,,,
5,1.5025657,target,,5,1.1366694,target,,,,,,,,,,,,
5,1.5049508,target,,5,1.2994966,target,,,,,,,,,,,,
10,1.7345287,target,,5,1.0496775,target,,,,,,,,,,,,
10,1.5280624,target,,10,1.1792499,target,,,,,,,,,,,,
5,1.4612078,target,,10,1.232369,target,,,,,,,,,,,,
5,1.3055197,target,,5,1.9619313,target,,,,,,,,,,,,
10,2.1636547,,,10,1.3143001,target,,,,,,,,,,,,
5,1.4511376,target,,10,2.9984543,target,,,,,,,,,,,,
5,1.1366694,target,,5,2.561689,target,,,,,,,,,,,,
5,1.2994966,target,,10,2.0617352,target,,,,,,,,,,,,
5,1.0496775,target,,10,1.4746819,target,,,,,,,,,,,,
10,1.1792499,target,,5,1.7037866,target,,,,,,,,,,,,
10,1.232369,target,,10,1.2886679,target,,,,,,,,,,,,
10,2.7973834,,,10,1.6772656,target,,,,,,,,,,,,
5,1.9619313,target,,5,1.3838757,target,,,,,,,,,,,,
10,1.3143001,target,,10,2.4235146,target,,,,,,,,,,,,
10,2.9984543,target,,5,1.104843,target,,,,,,,,,,,,
5,2.561689,target,,5,1.482483,target,,,,,,,,,,,,
10,2.0617352,target,,5,1.2706497,target,,,,,,,,,,,,
10,1.4746819,target,,5,1.4982768,target,,,,,,,,,,,,
5,1.7037866,target,,5,1.4083472,target,,,,,,,,,,,,
10,1.2886679,target,,10,1.7438664,target,,,,,,,,,,,,
10,1.6772656,target,,10,2.0641175,target,,,,,,,,,,,,
5,1.3838757,target,,5,1.5341668,target,,,,,,,,,,,,
10,1.4074062,,,10,1.3770062,target,,,,,,,,,,,,
10,2.4235146,target,,10,1.2399117,target,,,,,,,,,,,,
5,1.104843,target,,10,2.1297961,target,,,,,,,,,,,,
5,1.482483,target,,5,1.0844432,target,,,,,,,,,,,,
5,1.2706497,target,,10,2.532171,target,,,,,,,,,,,,
5,1.4982768,target,,5,1.3914223,target,,,,,,,,,,,,
5,1.4083472,target,,10,3.6065364,target,,,,,,,,,,,,
10,1.7438664,target,,10,1.4102901,target,,,,,,,,,,,,
10,2.0641175,target,,10,1.6241361,target,,,,,,,,,,,,
5,1.5341668,target,,10,1.8355503,target,,,,,,,,,,,,
10,1.3770062,target,,10,1.8224551,target,,,,,,,,,,,,
10,1.2399117,target,,10,1.1689344,target,,,,,,,,,,,,
10,2.1297961,target,,5,1.8986784,target,,,,,,,,,,,,
5,1.0844432,target,,5,1.1533765,target,,,,,,,,,,,,
10,2.532171,target,,10,2.0823996,target,,,,,,,,,,,,
5,1.3914223,target,,5,1.3749878,target,,,,,,,,,,,,
10,3.6065364,target,,5,1.1510259,target,,,,,,,,,,,,
10,1.4102901,target,,5,1.7420722,target,,,,,,,,,,,,
10,1.6241361,target,,10,1.6592448,target,,,,,,,,,,,,
10,1.8355503,target,,10,1.6953756,target,,,,,,,,,,,,
10,1.8224551,target,,10,4.0167948,target,,,,,,,,,,,,
10,1.1689344,target,,10,1.2055666,target,,,,,,,,,,,,
5,1.8986784,target,,5,1.5865056,target,,,,,,,,,,,,
5,1.1533765,target,,10,1.1907401,target,,,,,,,,,,,,
10,2.0823996,target,,10,2.1439531,target,,,,,,,,,,,,
5,1.3749878,target,,5,1.3418692,target,,,,,,,,,,,,
5,1.1510259,target,,10,1.7383114,target,,,,,,,,,,,,
5,1.7420722,target,,5,1.4021473,target,,,,,,,,,,,,
10,1.6592448,target,,5,1.820118,target,,,,,,,,,,,,
10,1.6953756,target,,5,1.2196109,target,,,,,,,,,,,,
10,4.0167948,target,,5,1.3878837,target,,,,,,,,,,,,
10,1.2055666,target,,5,2.0977762,target,,,,,,,,,,,,
5,1.5865056,target,,5,1.1215072,target,,,,,,,,,,,,
10,1.1907401,target,,5,1.053769,target,,,,,,,,,,,,
10,2.1439531,target,,5,1.0792015,target,,,,,,,,,,,,
5,1.3418692,target,,5,1.2161104,target,,,,,,,,,,,,
10,1.7383114,target,,10,1.039769,target,,,,,,,,,,,,
5,1.4021473,target,,10,1.4269496,target,,,,,,,,,,,,
5,1.820118,target,,5,1.0401089,target,,,,,,,,,,,,
5,1.2196109,target,,10,1.9676019,target,,,,,,,,,,,,
5,1.3878837,target,,10,1.064,target,,,,,,,,,,,,
5,2.0977762,target,,5,1.5525615,target,,,,,,,,,,,,
5,1.1215072,target,,10,1.1541798,target,,,,,,,,,,,,
5,1.053769,target,,10,1.788755,target,,,,,,,,,,,,
5,1.0792015,target,,5,1.1325165,target,,,,,,,,,,,,
5,1.2161104,target,,5,1.5993767,target,,,,,,,,,,,,
10,1.039769,target,,5,1.5066211,target,,,,,,,,,,,,
5,1.4694032,,,10,1.2014488,target,,,,,,,,,,,,
10,1.4269496,target,,5,1.1624493,target,,,,,,,,,,,,
5,1.1159304,,,10,1.6439381,target,,,,,,,,,,,,
5,1.0401089,target,,10,1.6814443,target,,,,,,,,,,,,
10,1.9676019,target,,5,1.6433847,target,,,,,,,,,,,,
10,1.064,target,,5,1.0033462,target,,,,,,,,,,,,
5,1.5525615,target,,10,4.3274908,target,,,,,,,,,,,,
5,1.256454,,,5,2.3814031,target,,,,,,,,,,,,
5,1.046432,,,10,1.5624423,target,,,,,,,,,,,,
10,1.1541798,target,,,,,,,,,,,,,,,,
10,1.788755,target,,,,,,,,,,,,,,,,
5,1.4466389,,,,,,,,,,,,,,,,,
5,1.1325165,target,,,,,,,,,,,,,,,,
5,1.5993767,target,,,,,,,,,,,,,,,,
5,1.2885975,,,,,,,,,,,,,,,,,
5,1.5066211,target,,,,,,,,,,,,,,,,
10,1.2014488,target,,,,,,,,,,,,,,,,
5,1.1624493,target,,,,,,,,,,,,,,,,
10,1.6439381,target,,,,,,,,,,,,,,,,
10,1.6814443,target,,,,,,,,,,,,,,,,
5,1.6433847,target,,,,,,,,,,,,,,,,
5,1.0033462,target,,,,,,,,,,,,,,,,
10,4.3274908,target,,,,,,,,,,,,,,,,
5,2.3814031,target,,,,,,,,,,,,,,,,
10,1.5624423,target,,,,,,,,,,,,,,,,
