pos,corr_resp,key_resp.keys,key_resp.corr,key_resp.rt,,,Sequence _trials,,,,,,Random_trials,,,,,,,,,,
-50,x,x,1,0.6415172,,,pos,corr_resp,key_resp.keys,key_resp.corr,key_resp.rt,,pos,corr_resp,key_resp.keys,key_resp.corr,key_resp.rt,,seq_rt,ran_rt,,mean_rt_sequence,0.270503297
150,v,v,1,0.2752956,,,-50,x,x,1,0.6415172,,-50,x,x,1,0.2504455,,0.6415172,0.2504455,,mean_rt_random,0.493518517
50,c,c,1,0.2522094,,,150,v,v,1,0.2752956,,50,c,c,1,0.5810375,,0.2752956,0.5810375,,,
-150,z,z,1,0.0783607,,,50,c,c,1,0.2522094,,50,c,c,1,0.4158753,,0.2522094,0.4158753,,mean_diff_rt,0.22301522
-50,x,x,1,0.0117316,,,-150,z,z,1,0.0783607,,-50,x,x,1,0.5171438,,0.0783607,0.5171438,,,
150,v,v,1,0.0852342,,,-50,x,x,1,0.0117316,,150,v,v,1,0.4138018,,0.0117316,0.4138018,,,
50,c,c,1,0.0408344,,,150,v,v,1,0.0852342,,-150,z,z,1,0.417817,,0.0852342,0.417817,,,
-150,z,z,1,0.2686742,,,50,c,c,1,0.0408344,,-50,x,x,1,0.5666724,,0.0408344,0.5666724,,,
-50,x,x,1,0.3813207,,,-150,z,z,1,0.2686742,,150,v,v,1,0.4064133,,0.2686742,0.4064133,,,
150,v,v,1,0.247836,,,-50,x,x,1,0.3813207,,50,c,c,1,0.5976777,,0.3813207,0.5976777,,,
50,c,c,1,0.0075591,,,150,v,v,1,0.247836,,-150,z,z,1,0.4022764,,0.247836,0.4022764,,,
-150,z,z,1,0.237367,,,50,c,c,1,0.0075591,,-150,z,z,1,0.3666076,,0.0075591,0.3666076,,,
-50,x,x,1,0.091615,,,-150,z,z,1,0.237367,,150,v,v,1,0.4788548,,0.237367,0.4788548,,,
150,v,v,1,0.0344742,,,-50,x,x,1,0.091615,,150,v,v,1,0.3950909,,0.091615,0.3950909,,,
50,c,c,1,0.0553582,,,150,v,v,1,0.0344742,,50,c,c,1,0.4858464,,0.0344742,0.4858464,,,
-150,z,z,1,0.3762394,,,50,c,c,1,0.0553582,,50,c,c,1,0.3595523,,0.0553582,0.3595523,,,
-50,x,x,1,0.2535951,,,-150,z,z,1,0.3762394,,150,v,v,1,0.3768687,,0.3762394,0.3768687,,,
150,v,v,1,0.2667351,,,-50,x,x,1,0.2535951,,-50,x,x,1,0.9250263,,0.2535951,0.9250263,,,
50,c,c,1,0.0458205,,,150,v,v,1,0.2667351,,50,c,c,1,0.4609126,,0.2667351,0.4609126,,,
-150,z,z,1,0.4258865,,,50,c,c,1,0.0458205,,-150,z,z,1,0.4491415,,0.0458205,0.4491415,,,
-50,x,x,1,0.0555411,,,-150,z,z,1,0.4258865,,-150,z,z,1,0.4428043,,0.4258865,0.4428043,,,
150,v,v,1,0.0934655,,,-50,x,x,1,0.0555411,,150,v,v,1,0.4491441,,0.0555411,0.4491441,,,
50,c,c,1,0.0903537,,,150,v,v,1,0.0934655,,150,v,v,1,0.4266847,,0.0934655,0.4266847,,,
-150,z,z,1,0.2504594,,,50,c,c,1,0.0903537,,50,c,c,1,0.7247282,,0.0903537,0.7247282,,,
-50,x,x,1,0.1926072,,,-150,z,z,1,0.2504594,,-150,z,z,1,0.457212,,0.2504594,0.457212,,,
150,v,v,1,0.1269691,,,-50,x,x,1,0.1926072,,-50,x,x,1,0.9133216,,0.1926072,0.9133216,,,
50,c,c,1,0.1880191,,,150,v,v,1,0.1269691,,50,c,c,1,0.6984188,,0.1269691,0.6984188,,,
-150,z,z,1,0.1571546,,,50,c,c,1,0.1880191,,150,v,v,1,0.3845059,,0.1880191,0.3845059,,,
-50,x,x,1,0.2543614,,,-150,z,z,1,0.1571546,,150,v,v,1,0.3440054,,0.1571546,0.3440054,,,
150,v,v,1,0.3461188,,,-50,x,x,1,0.2543614,,-150,z,z,1,0.4694448,,0.2543614,0.4694448,,,
50,c,c,1,0.2789933,,,150,v,v,1,0.3461188,,-50,x,x,1,0.6840088,,0.3461188,0.6840088,,,
-150,z,z,1,0.2561237,,,50,c,c,1,0.2789933,,-150,z,z,1,0.4446288,,0.2789933,0.4446288,,,
-50,x,x,1,0.2296807,,,-150,z,z,1,0.2561237,,-50,x,x,1,0.4977033,,0.2561237,0.4977033,,,
150,v,v,1,0.2782119,,,-50,x,x,1,0.2296807,,50,c,c,1,0.7024648,,0.2296807,0.7024648,,,
50,c,c,1,0.2157933,,,150,v,v,1,0.2782119,,150,v,v,1,0.4124137,,0.2782119,0.4124137,,,
-150,z,z,1,0.3623662,,,50,c,c,1,0.2157933,,150,v,v,1,0.3867809,,0.2157933,0.3867809,,,
-50,x,x,1,0.2797007,,,-150,z,z,1,0.3623662,,-50,x,x,1,0.7244264,,0.3623662,0.7244264,,,
150,v,v,1,0.1583497,,,-50,x,x,1,0.2797007,,-150,z,z,1,0.41223,,0.2797007,0.41223,,,
50,c,c,1,0.0958239,,,150,v,v,1,0.1583497,,150,v,v,1,0.4361409,,0.1583497,0.4361409,,,
-150,z,z,1,0.1722658,,,50,c,c,1,0.0958239,,50,c,c,1,0.4263788,,0.0958239,0.4263788,,,
-50,x,x,1,0.2003628,,,-150,z,z,1,0.1722658,,50,c,c,1,0.4004125,,0.1722658,0.4004125,,,
150,v,v,1,0.0458519,,,-50,x,x,1,0.2003628,,50,c,c,1,0.4876351,,0.2003628,0.4876351,,,
50,c,c,1,None,,,150,v,v,1,0.0458519,,150,v,v,1,0.4652744,,0.0458519,0.4652744,,,
-150,z,z,1,0.390191,,,50,c,c,1,None,,150,v,v,1,0.5500712,,None,0.5500712,,,
-50,x,x,1,0.1349426,,,-150,z,z,1,0.390191,,150,v,v,1,0.3228519,,0.390191,0.3228519,,,
150,v,v,1,0.0260273,,,-50,x,x,1,0.1349426,,-150,z,z,1,0.4231904,,0.1349426,0.4231904,,,
50,c,c,1,0.2434407,,,150,v,v,1,0.0260273,,150,v,v,1,0.3910411,,0.0260273,0.3910411,,,
-150,z,z,1,0.3313267,,,50,c,c,1,0.2434407,,150,v,v,1,0.4672267,,0.2434407,0.4672267,,,
-50,x,x,1,None,,,-150,z,z,1,0.3313267,,-50,x,x,1,0.3933754,,0.3313267,0.3933754,,,
150,v,v,1,0.0307734,,,-50,x,x,1,None,,-50,x,x,1,0.3364631,,None,0.3364631,,,
50,c,c,1,0.2692897,,,150,v,v,1,0.0307734,,-150,z,z,1,0.3761031,,0.0307734,0.3761031,,,
-150,z,z,1,0.23896,,,50,c,c,1,0.2692897,,150,v,v,1,0.4790813,,0.2692897,0.4790813,,,
-50,x,x,1,0.24739,,,-150,z,z,1,0.23896,,150,v,v,1,0.4051687,,0.23896,0.4051687,,,
150,v,v,1,0.2263508,,,-50,x,x,1,0.24739,,150,v,v,1,0.3649197,,0.24739,0.3649197,,,
50,c,c,1,0.2777136,,,150,v,v,1,0.2263508,,50,c,c,1,0.665119,,0.2263508,0.665119,,,
-150,z,z,1,0.1673664,,,50,c,c,1,0.2777136,,50,c,c,1,0.4218383,,0.2777136,0.4218383,,,
-50,x,x,1,0.0928343,,,-150,z,z,1,0.1673664,,-50,x,x,1,0.375461,,0.1673664,0.375461,,,
150,v,v,1,0.0431071,,,-50,x,x,1,0.0928343,,150,v,v,1,0.3728837,,0.0928343,0.3728837,,,
50,c,c,1,0.2763975,,,150,v,v,1,0.0431071,,-50,x,x,1,0.4757919,,0.0431071,0.4757919,,,
-150,z,z,1,0.2660231,,,50,c,c,1,0.2763975,,-50,x,x,1,0.3569274,,0.2763975,0.3569274,,,
-50,x,x,1,0.2750345,,,-150,z,z,1,0.2660231,,150,v,v,1,0.4700221,,0.2660231,0.4700221,,,
150,v,v,1,0.2409214,,,-50,x,x,1,0.2750345,,50,c,c,1,1.0128778,,0.2750345,1.0128778,,,
50,c,c,1,0.2894695,,,150,v,v,1,0.2409214,,150,v,v,1,0.5276619,,0.2409214,0.5276619,,,
-150,z,z,1,0.0105088,,,50,c,c,1,0.2894695,,150,v,v,1,0.4224653,,0.2894695,0.4224653,,,
-50,x,x,1,0.2414053,,,-150,z,z,1,0.0105088,,-50,x,x,1,0.3510319,,0.0105088,0.3510319,,,
150,v,v,1,0.0756397,,,-50,x,x,1,0.2414053,,50,c,c,1,0.4202561,,0.2414053,0.4202561,,,
50,c,c,1,0.0081246,,,150,v,v,1,0.0756397,,-150,z,z,1,0.5194306,,0.0756397,0.5194306,,,
-150,z,z,1,0.1887851,,,50,c,c,1,0.0081246,,150,v,v,1,0.4370575,,0.0081246,0.4370575,,,
-50,x,x,1,0.0264364,,,-150,z,z,1,0.1887851,,50,c,c,1,0.5199813,,0.1887851,0.5199813,,,
150,v,v,1,0.1838429,,,-50,x,x,1,0.0264364,,-50,x,x,1,0.3954554,,0.0264364,0.3954554,,,
50,c,c,1,0.27047,,,150,v,v,1,0.1838429,,-50,x,x,1,0.4476774,,0.1838429,0.4476774,,,
-150,z,z,1,0.2420907,,,50,c,c,1,0.27047,,-50,x,x,1,0.3433231,,0.27047,0.3433231,,,
-50,x,x,1,0.0347274,,,-150,z,z,1,0.2420907,,-150,z,z,1,0.4641509,,0.2420907,0.4641509,,,
150,v,v,1,0.2610117,,,-50,x,x,1,0.0347274,,50,c,c,1,0.6520512,,0.0347274,0.6520512,,,
50,c,c,1,0.2975346,,,150,v,v,1,0.2610117,,50,c,c,1,0.3924537,,0.2610117,0.3924537,,,
-150,z,z,1,0.2604765,,,50,c,c,1,0.2975346,,50,c,c,1,0.349066,,0.2975346,0.349066,,,
-50,x,x,1,0.3915614,,,-150,z,z,1,0.2604765,,-50,x,x,1,0.347579,,0.2604765,0.347579,,,
150,v,v,1,0.2451976,,,-50,x,x,1,0.3915614,,-150,z,z,1,0.5491238,,0.3915614,0.5491238,,,
50,c,c,1,0.51479,,,150,v,v,1,0.2451976,,50,c,c,1,0.3844616,,0.2451976,0.3844616,,,
-150,z,z,1,0.5026017,,,50,c,c,1,0.51479,,-150,z,z,1,0.5396032,,0.51479,0.5396032,,,
-50,x,x,1,0.4820559,,,-150,z,z,1,0.5026017,,-50,x,x,1,0.5179073,,0.5026017,0.5179073,,,
150,v,v,1,0.3904077,,,-50,x,x,1,0.4820559,,-50,x,x,1,0.3759109,,0.4820559,0.3759109,,,
50,c,c,1,0.2598658,,,150,v,v,1,0.3904077,,-50,x,x,1,0.3215694,,0.3904077,0.3215694,,,
-150,z,z,1,0.2393924,,,50,c,c,1,0.2598658,,50,c,c,1,0.4056641,,0.2598658,0.4056641,,,
-50,x,x,1,0.3070994,,,-150,z,z,1,0.2393924,,-50,x,x,1,0.5096987,,0.2393924,0.5096987,,,
150,v,v,1,0.2618744,,,-50,x,x,1,0.3070994,,-50,x,x,1,0.3975213,,0.3070994,0.3975213,,,
50,c,c,1,0.3717149,,,150,v,v,1,0.2618744,,-150,z,z,1,0.6267206,,0.2618744,0.6267206,,,
-150,z,z,1,0.0217917,,,50,c,c,1,0.3717149,,-50,x,x,1,0.8820719,,0.3717149,0.8820719,,,
-50,x,x,1,0.2743532,,,-150,z,z,1,0.0217917,,-150,z,z,1,0.4818058,,0.0217917,0.4818058,,,
150,v,v,1,0.2910295,,,-50,x,x,1,0.2743532,,-50,x,x,1,0.5465788,,0.2743532,0.5465788,,,
50,c,c,1,0.1370188,,,150,v,v,1,0.2910295,,-50,x,x,1,0.4790129,,0.2910295,0.4790129,,,
-150,z,z,1,0.4071439,,,50,c,c,1,0.1370188,,150,v,v,1,0.4509775,,0.1370188,0.4509775,,,
-50,x,x,1,0.3424409,,,-150,z,z,1,0.4071439,,-50,x,x,1,0.5319931,,0.4071439,0.5319931,,,
150,v,v,1,0.1775981,,,-50,x,x,1,0.3424409,,150,v,v,1,0.3923173,,0.3424409,0.3923173,,,
50,c,c,1,0.1837317,,,150,v,v,1,0.1775981,,50,c,c,1,0.5201286,,0.1775981,0.5201286,,,
-150,z,z,1,0.0997013,,,50,c,c,1,0.1837317,,50,c,c,1,0.4155174,,0.1837317,0.4155174,,,
-50,x,x,1,0.3072995,,,-150,z,z,1,0.0997013,,50,c,c,1,0.3702272,,0.0997013,0.3702272,,,
150,v,v,1,0.2627466,,,-50,x,x,1,0.3072995,,150,v,v,1,0.3296884,,0.3072995,0.3296884,,,
50,c,c,1,0.1121749,,,150,v,v,1,0.2627466,,-150,z,z,1,0.3934951,,0.2627466,0.3934951,,,
-150,z,z,1,0.3655854,,,50,c,c,1,0.1121749,,-50,x,x,1,0.4871355,,0.1121749,0.4871355,,,
-50,x,x,1,0.3577541,,,-150,z,z,1,0.3655854,,-150,z,z,1,0.5239267,,0.3655854,0.5239267,,,
150,v,v,1,0.2623389,,,-50,x,x,1,0.3577541,,50,c,c,1,0.7212847,,0.3577541,0.7212847,,,
50,c,c,1,0.2970923,,,150,v,v,1,0.2623389,,-50,x,x,1,0.6255865,,0.2623389,0.6255865,,,
-150,z,z,1,0.2705089,,,50,c,c,1,0.2970923,,-150,z,z,1,0.4694853,,0.2970923,0.4694853,,,
-50,x,x,1,0.2972992,,,-150,z,z,1,0.2705089,,-50,x,x,1,0.4745757,,0.2705089,0.4745757,,,
150,v,v,1,0.1679287,,,-50,x,x,1,0.2972992,,-150,z,z,1,0.5343662,,0.2972992,0.5343662,,,
50,c,c,1,0.2464455,,,150,v,v,1,0.1679287,,-150,z,z,1,0.4750933,,0.1679287,0.4750933,,,
-150,z,z,1,0.1653736,,,50,c,c,1,0.2464455,,150,v,v,1,0.4723932,,0.2464455,0.4723932,,,
-50,x,x,1,0.3021839,,,-150,z,z,1,0.1653736,,50,c,c,1,0.4249329,,0.1653736,0.4249329,,,
150,v,v,1,0.2665786,,,-50,x,x,1,0.3021839,,150,v,v,1,0.3889981,,0.3021839,0.3889981,,,
50,c,c,1,0.4135008,,,150,v,v,1,0.2665786,,150,v,v,1,0.5021244,,0.2665786,0.5021244,,,
-150,z,z,1,0.3759814,,,50,c,c,1,0.4135008,,-50,x,x,1,0.5009819,,0.4135008,0.5009819,,,
-50,x,x,1,0.2110624,,,-150,z,z,1,0.3759814,,150,v,v,1,0.4436191,,0.3759814,0.4436191,,,
150,v,v,1,0.276524,,,-50,x,x,1,0.2110624,,150,v,v,1,0.4923715,,0.2110624,0.4923715,,,
50,c,c,1,0.0352018,,,150,v,v,1,0.276524,,-50,x,x,1,0.787667,,0.276524,0.787667,,,
-150,z,z,1,0.3073292,,,50,c,c,1,0.0352018,,50,c,c,1,0.4226998,,0.0352018,0.4226998,,,
-50,x,x,1,0.2899803,,,-150,z,z,1,0.3073292,,150,v,v,1,0.4067824,,0.3073292,0.4067824,,,
150,v,v,1,0.4474206,,,-50,x,x,1,0.2899803,,-50,x,x,1,0.7449795,,0.2899803,0.7449795,,,
50,c,c,1,0.2065074,,,150,v,v,1,0.4474206,,150,v,v,1,0.3829274,,0.4474206,0.3829274,,,
-150,z,z,1,0.2050112,,,50,c,c,1,0.2065074,,-150,z,z,1,0.4308246,,0.2065074,0.4308246,,,
-50,x,x,1,0.3096811,,,-150,z,z,1,0.2050112,,-50,x,x,1,0.7006691,,0.2050112,0.7006691,,,
150,v,v,1,0.3030581,,,-50,x,x,1,0.3096811,,150,v,v,1,0.4733114,,0.3096811,0.4733114,,,
50,c,c,1,0.2952288,,,150,v,v,1,0.3030581,,-150,z,z,1,0.5754348,,0.3030581,0.5754348,,,
-150,z,z,1,0.2998957,,,50,c,c,1,0.2952288,,-150,z,z,1,0.4794488,,0.2952288,0.4794488,,,
-50,x,x,1,0.2693763,,,-150,z,z,1,0.2998957,,150,v,v,1,0.346954,,0.2998957,0.346954,,,
150,v,v,1,0.1349005,,,-50,x,x,1,0.2693763,,-50,x,x,1,0.5186231,,0.2693763,0.5186231,,,
50,c,c,1,0.2436804,,,150,v,v,1,0.1349005,,-150,z,z,1,0.3750928,,0.1349005,0.3750928,,,
-150,z,z,1,0.1911785,,,50,c,c,1,0.2436804,,50,c,c,1,0.3424621,,0.2436804,0.3424621,,,
-50,x,x,1,0.2788344,,,-150,z,z,1,0.1911785,,-150,z,z,1,0.5145813,,0.1911785,0.5145813,,,
150,v,v,1,0.0785896,,,-50,x,x,1,0.2788344,,-50,x,x,1,0.5388174,,0.2788344,0.5388174,,,
50,c,c,1,0.3764586,,,150,v,v,1,0.0785896,,50,c,c,1,0.7634325,,0.0785896,0.7634325,,,
-150,z,z,1,0.1914627,,,50,c,c,1,0.3764586,,-50,x,x,1,0.5952311,,0.3764586,0.5952311,,,
-50,x,x,1,0.2486165,,,-150,z,z,1,0.1914627,,-150,z,z,1,0.4031032,,0.1914627,0.4031032,,,
150,v,v,1,0.0538338,,,-50,x,x,1,0.2486165,,-50,x,x,1,0.6640488,,0.2486165,0.6640488,,,
50,c,c,1,0.2613039,,,150,v,v,1,0.0538338,,150,v,v,1,0.4618771,,0.0538338,0.4618771,,,
-150,z,z,1,0.2804255,,,50,c,c,1,0.2613039,,50,c,c,1,0.4391374,,0.2613039,0.4391374,,,
-50,x,x,1,0.2706854,,,-150,z,z,1,0.2804255,,-50,x,x,1,0.7893622,,0.2804255,0.7893622,,,
150,v,v,1,0.2818386,,,-50,x,x,1,0.2706854,,50,c,c,1,0.4517944,,0.2706854,0.4517944,,,
50,c,c,1,0.3158343,,,150,v,v,1,0.2818386,,150,v,v,1,0.4349656,,0.2818386,0.4349656,,,
-150,z,z,1,0.3171597,,,50,c,c,1,0.3158343,,150,v,v,1,0.3902629,,0.3158343,0.3902629,,,
-50,x,x,1,0.2726796,,,-150,z,z,1,0.3171597,,-50,x,x,1,0.693213,,0.3171597,0.693213,,,
150,v,v,1,0.2053711,,,-50,x,x,1,0.2726796,,150,v,v,1,0.3598512,,0.2726796,0.3598512,,,
50,c,c,1,0.2636685,,,150,v,v,1,0.2053711,,150,v,v,1,0.3205646,,0.2053711,0.3205646,,,
-150,z,z,1,0.286434,,,50,c,c,1,0.2636685,,50,c,c,1,0.5261353,,0.2636685,0.5261353,,,
