pos,corr_resp,key_resp.keys,key_resp.corr,key_resp.rt,,,Sequence _trials,,,,,,Random_trials,,,,,,,,,,
-50,x,x,1,0.6943008,,,-150,z,z,1,0.286434,,-50,x,x,1,0.4192639,,0.286434,0.4192639,,,
150,v,v,1,0.2247071,,,-50,x,x,1,0.6943008,,-150,z,z,1,0.8172651,,0.6943008,0.8172651,,,
50,c,c,1,0.2046178,,,150,v,v,1,0.2247071,,50,c,c,1,0.7073478,,0.2247071,0.7073478,,,
-150,z,z,1,0.2795433,,,50,c,c,1,0.2046178,,50,c,c,1,0.5154293,,0.2046178,0.5154293,,,
-50,x,x,1,0.513038,,,-150,z,z,1,0.2795433,,-50,x,x,1,0.461817,,0.2795433,0.461817,,,
150,v,v,1,0.2437121,,,-50,x,x,1,0.513038,,-150,z,z,1,0.4027608,,0.513038,0.4027608,,,
50,c,c,1,0.2829159,,,150,v,v,1,0.2437121,,-150,z,z,1,0.3771566,,0.2437121,0.3771566,,,
-150,z,z,1,0.4341388,,,50,c,c,1,0.2829159,,50,c,c,1,0.5784239,,0.2829159,0.5784239,,,
-50,x,x,1,0.2857754,,,-150,z,z,1,0.4341388,,-150,z,z,1,0.4303034,,0.4341388,0.4303034,,,
150,v,v,1,0.2629777,,,-50,x,x,1,0.2857754,,50,c,c,1,0.3118948,,0.2857754,0.3118948,,,
50,c,c,1,0.3325095,,,150,v,v,1,0.2629777,,150,v,v,1,0.3178865,,0.2629777,0.3178865,,,
-150,z,z,1,0.2650705,,,50,c,c,1,0.3325095,,-150,z,z,1,0.3183512,,0.3325095,0.3183512,,,
-50,x,x,1,0.4890985,,,-150,z,z,1,0.2650705,,-150,z,z,1,0.4645125,,0.2650705,0.4645125,,,
150,v,v,1,0.3507975,,,-50,x,x,1,0.4890985,,-150,z,z,1,0.3825786,,0.4890985,0.3825786,,,
50,c,c,1,0.3462079,,,150,v,v,1,0.3507975,,-150,z,z,1,0.4393831,,0.3507975,0.4393831,,,
-150,z,z,1,0.2621727,,,50,c,c,1,0.3462079,,50,c,c,1,0.4909225,,0.3462079,0.4909225,,,
-50,x,x,1,0.307116,,,-150,z,z,1,0.2621727,,50,c,c,1,0.3355283,,0.2621727,0.3355283,,,
150,v,v,1,0.3963455,,,-50,x,x,1,0.307116,,50,c,c,1,0.32735,,0.307116,0.32735,,,
50,c,c,1,0.351517,,,150,v,v,1,0.3963455,,50,c,c,1,0.3832971,,0.3963455,0.3832971,,,
-150,z,z,1,0.2991656,,,50,c,c,1,0.351517,,-50,x,x,1,0.8030189,,0.351517,0.8030189,,,
-50,x,x,1,0.347861,,,-150,z,z,1,0.2991656,,-50,x,x,1,0.3446799,,0.2991656,0.3446799,,,
150,v,v,1,0.3596095,,,-50,x,x,1,0.347861,,50,c,c,1,0.6365036,,0.347861,0.6365036,,,
50,c,c,1,0.3393054,,,150,v,v,1,0.3596095,,-150,z,z,1,0.6388949,,0.3596095,0.6388949,,,
-150,z,z,1,0.4501438,,,50,c,c,1,0.3393054,,-150,z,z,1,0.4228056,,0.3393054,0.4228056,,,
-50,x,x,1,0.6431076,,,-150,z,z,1,0.4501438,,150,v,v,1,0.5803876,,0.4501438,0.5803876,,,
150,v,v,1,0.3208903,,,-50,x,x,1,0.6431076,,50,c,c,1,0.4502091,,0.6431076,0.4502091,,,
50,c,c,1,0.5330105,,,150,v,v,1,0.3208903,,-50,x,x,1,0.4341416,,0.3208903,0.4341416,,,
-150,z,z,1,0.3811865,,,50,c,c,1,0.5330105,,150,v,v,1,0.4628765,,0.5330105,0.4628765,,,
-50,x,x,1,0.5002799,,,-150,z,z,1,0.3811865,,-150,z,z,1,0.5043827,,0.3811865,0.5043827,,,
150,v,v,1,0.3364749,,,-50,x,x,1,0.5002799,,-150,z,z,1,0.4026924,,0.5002799,0.4026924,,,
50,c,c,1,0.2318288,,,150,v,v,1,0.3364749,,-50,x,x,1,0.9536918,,0.3364749,0.9536918,,,
-150,z,z,1,0.2637958,,,50,c,c,1,0.2318288,,150,v,v,1,0.4568083,,0.2318288,0.4568083,,,
-50,x,x,1,0.2698631,,,-150,z,z,1,0.2637958,,-150,z,z,1,0.4853966,,0.2637958,0.4853966,,,
150,v,v,1,0.2956107,,,-50,x,x,1,0.2698631,,-150,z,z,1,0.48759,,0.2698631,0.48759,,,
50,c,c,1,0.2866861,,,150,v,v,1,0.2956107,,150,v,v,1,1.0200827,,0.2956107,1.0200827,,,
-150,z,z,1,0.1935514,,,50,c,c,1,0.2866861,,-150,z,z,1,0.3988252,,0.2866861,0.3988252,,,
-50,x,x,1,0.8958117,,,-150,z,z,1,0.1935514,,-150,z,z,1,0.423801,,0.1935514,0.423801,,,
150,v,v,1,0.2651744,,,-50,x,x,1,0.8958117,,50,c,c,1,1.845937,,0.8958117,1.845937,,,
50,c,c,1,0.2236687,,,150,v,v,1,0.2651744,,-150,z,z,1,0.5956682,,0.2651744,0.5956682,,,
-150,z,z,1,0.3434878,,,50,c,c,1,0.2236687,,-150,z,z,1,0.4637545,,0.2236687,0.4637545,,,
-50,x,x,1,0.4469613,,,-150,z,z,1,0.3434878,,-150,z,z,1,0.4226221,,0.3434878,0.4226221,,,
150,v,v,1,0.272309,,,-50,x,x,1,0.4469613,,50,c,c,1,0.3577356,,0.4469613,0.3577356,,,
50,c,c,1,0.3220231,,,150,v,v,1,0.272309,,50,c,c,1,0.3900975,,0.272309,0.3900975,,,
-150,z,z,1,0.3544079,,,50,c,c,1,0.3220231,,-150,z,z,1,0.4014373,,0.3220231,0.4014373,,,
-50,x,x,1,0.2848563,,,-150,z,z,1,0.3544079,,50,c,c,1,0.5862557,,0.3544079,0.5862557,,,
150,v,v,1,0.2897188,,,-50,x,x,1,0.2848563,,50,c,c,1,0.4318631,,0.2848563,0.4318631,,,
50,c,c,1,0.4686258,,,150,v,v,1,0.2897188,,-150,z,z,1,0.45736,,0.2897188,0.45736,,,
-150,z,z,1,0.3666529,,,50,c,c,1,0.4686258,,-50,x,x,1,0.5533154,,0.4686258,0.5533154,,,
-50,x,x,1,0.5620286,,,-150,z,z,1,0.3666529,,150,v,v,1,0.4356529,,0.3666529,0.4356529,,,
150,v,v,1,0.4455249,,,-50,x,x,1,0.5620286,,150,v,v,1,0.4311733,,0.5620286,0.4311733,,,
50,c,c,1,0.2508279,,,150,v,v,1,0.4455249,,-150,z,z,1,0.4897767,,0.4455249,0.4897767,,,
-150,z,z,1,0.3968977,,,50,c,c,1,0.2508279,,50,c,c,1,0.7796493,,0.2508279,0.7796493,,,
-50,x,x,1,0.2811952,,,-150,z,z,1,0.3968977,,-50,x,x,1,0.566108,,0.3968977,0.566108,,,
150,v,v,1,0.3342099,,,-50,x,x,1,0.2811952,,150,v,v,1,0.4254707,,0.2811952,0.4254707,,,
50,c,c,1,0.835876,,,150,v,v,1,0.3342099,,,,,,,,0.3342099,,,,
-150,z,z,1,0.3842157,,,50,c,c,1,0.835876,,,,,,,,0.835876,,,,
-50,x,x,1,0.2504455,,,-150,z,z,1,0.3842157,,,,,,,,0.3842157,,,,
50,c,v,0,0.2227276,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.5810375,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.4158753,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.5171438,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4138018,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.417817,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.5666724,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4064133,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.5976777,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4022764,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.3666076,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4788548,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.3950909,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.4858464,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.3595523,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.3768687,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.9250263,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.4609126,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4491415,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4428043,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4491441,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4266847,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.7247282,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.457212,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.9133216,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.6984188,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.3845059,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.3440054,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4694448,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.6840088,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4446288,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.4977033,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.7024648,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4124137,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.3867809,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.7244264,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.41223,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4361409,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.4263788,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.4004125,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.4876351,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4652744,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.5500712,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.3228519,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4231904,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.3910411,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4672267,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.3933754,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.3364631,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.3761031,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4790813,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4051687,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.3649197,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.665119,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.4218383,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.375461,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.3728837,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.4757919,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.3569274,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4700221,,,,,,,,,,,,,,,,,,,
50,c,c,1,1.0128778,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.5276619,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4224653,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.3510319,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.4202561,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.5194306,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4370575,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.5199813,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.3954554,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.4476774,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.3433231,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4641509,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.6520512,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.3924537,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.349066,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.347579,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.5491238,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.3844616,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.5396032,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.5179073,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.3759109,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.3215694,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.4056641,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.5096987,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.3975213,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.6267206,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.8820719,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4818058,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.5465788,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.4790129,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4509775,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.5319931,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.3923173,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.5201286,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.4155174,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.3702272,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.3296884,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.3934951,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.4871355,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.5239267,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.7212847,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.6255865,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4694853,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.4745757,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.5343662,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4750933,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4723932,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.4249329,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.3889981,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.5021244,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.5009819,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4436191,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4923715,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.787667,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.4226998,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4067824,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.7449795,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.3829274,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4308246,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.7006691,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4733114,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.5754348,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4794488,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.346954,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.5186231,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.3750928,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.3424621,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.5145813,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.5388174,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.7634325,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.5952311,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4031032,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.6640488,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4618771,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.4391374,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.7893622,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.4517944,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4349656,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.3902629,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.693213,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.3598512,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.3205646,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.5261353,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.4192639,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.8172651,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.7073478,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.5154293,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.461817,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4027608,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.3771566,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.5784239,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4303034,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.3118948,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.3178865,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.3183512,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4645125,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.3825786,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4393831,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.4909225,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.3355283,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.32735,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.3832971,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.8030189,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.3446799,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.6365036,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.6388949,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4228056,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.5803876,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.4502091,,,,,,,,,,,,,,,,,,,
-50,x,z,0,0.4433943,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.4341416,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4628765,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.5043827,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4026924,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.9536918,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4568083,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4853966,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.48759,,,,,,,,,,,,,,,,,,,
150,v,v,1,1.0200827,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.3988252,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.423801,,,,,,,,,,,,,,,,,,,
50,c,c,1,1.845937,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.5956682,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4637545,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4226221,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.3577356,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.3900975,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4014373,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.5862557,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.4318631,,,,,,,,,,,,,,,,,,,
-50,x,z,0,0.4399486,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.45736,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.5533154,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4356529,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4311733,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4897767,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.7796493,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.566108,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4254707,,,,,,,,,,,,,,,,,,,
